client_id,full_name,date_of_birth,gender,nationality_code,height_cm,weight_kg,hair_color,eye_color,spoken_languages,match_label,matched_sanction_id
C000035,AHMED MUSAEV,1993-09-08,M,sv,1.75,73.0,GRYG,nan,ENG,0,
C000036,MAURICIO DAUDOV,1982-10-06,M,ma,,0.0,BLA,BLU,HEB,0,
C000037,GULBAZ MAMANI,1977-05-24,M,bo,,0.0,BLA,BLA,RUS,0,
C000038,GRIGORE DRUTA,1983-02-19,M,md,,0.0,,,RUM,1,interpol-red-2015-72647
C000039,SULEIMAN ZURAPOV,1990-03-18,M,ru,,,nan,BLA,RUS,0,
C000040,OMAR GUSEYNLI,1960-08-25,M,bo,1.77,0.0,BLA,nan,PUS,0,
C000041,MILOJKO NAVARRO,1987-09-26,F,ru,1.8,70.0,nan,nan,RUS,0,
C000042,ISMAIL ABDO,1990-06-03,M,se,1.73,,,,ENG,1,Q131144277
C000043,ANATOLY MALIKOV,1977-07-08,F,ru,,0.0,BLA,nan,SPA,0,
C000044,GITIN KHAN,1967-01-01,M,ru,,,OTHD,nan,RUS,0,
C000045,ELGAM BRAJKOVIC,1994-12-22,M,mx,,0.0,nan,nan,RUS,0,
C000046,YUSUP BATAEV,1989-02-22,M,ru,,0.0,,,RUS,1,interpol-red-2016-31316
C000047,NIKA SHAMILOV,1982-01-09,M,ru,1.68,75.0,BLA,OTHD,RUS,0,
C000048,RUSLAN AGAKHANOV,1969-02-02,M,pl,1.7,70.0,BLA,OTHD,SPA,0,
C000049,JOSEPHINE BASHIROVA,1990-06-28,M,pl,1.6,0.0,nan,nan,SPA,0,
C000050,ABABUKAR BARKHANOEV,1971-04-13,M,ru,,,nan,nan,PAN,0,
C000051,ALI PALACIOS,1991-08-03,M,kg,,0.0,nan,nan,GER,0,
C000052,AMINAT ALFARO,1989-01-26,M,bo,1.67,95.0,OTHD,nan,MKH,0,
C000053,TOWFIQUE DZHUMAKHANOV,1990-03-20,M,ru,,65.0,nan,nan,RUS,0,
C000054,MAGOMED ALTEMIROV,1993-04-15,M,ru,1.65,0.0,OTHD,OTHD,KUM,0,
C000055,JOSE ISHBULDIN,1971-12-17,F,uz,,0.0,nan,nan,CHE,0,
C000056,ALBERTO MARKELIYA,1988-07-29,F,in,,0.0,nan,BROH,RUS,0,
C000057,JORGE KALASOV,1982-10-23,M,az,1.8,0.0,nan,OTHD,LEZ,0,
C000058,MURAD SHAKHPAZOV,1984-09-16,M,ru,,0.0,nan,nan,SPA,0,
C000059,AMRIK AMINEV,1990-07-01,M,ng,,0.0,nan,nan,RUS,0,
C000060,ASIIAT ABDURAKHMANOV,1968-07-23,M,mx,1.85,80.0,nan,nan,ENG,0,
C000061,ASLAN MECOLLARI,1964-08-17,M,in,,0.0,nan,nan,RUS,0,
C000062,EDUARD CHEREPANOV,1990-01-10,M,ru,,54.0,nan,nan,RUS,0,
C000063,OSCAR SAMAYOA,1972-08-27,M,sv,,0.0,OTHD,BRO,ENG,0,
C000064,FELIX NATONIO GUARDADO MENJIVAR,1966-06-17,M,sv,2.8,90.0,BLA,BLA,SPA,1,interpol-red-2018-62110
C000065,SALGEREI VOROBIEV,1994-07-15,M,ru,1.7,80.0,nan,OTHD,nan,0,
C000066,ABU MOZZINO,1983-01-01,M,sv,,73.0,YELB,nan,nan,0,
C000067,TEMUR VASQUEZ,1994-05-26,M,ru,,0.0,nan,BLA,POR,0,
C000068,ADAM DZHUMAEV,1990-11-08,M,ru,1.77,,BRO,nan,RUS,0,
C000069,ANDERSON YAR,1986-12-22,F,ru,,0.0,OTHD,OTHD,RUS,0,
C000070,KHADAR ABERKANE,nan,M,tw,,67.5,BLA,BRO,RUS,0,
C000071,ALI BOIVIN,1976-07-09,M,ru,1.76,0.0,nan,nan,RUS,0,
C000072,ZAKARIYA NELSON,1965-04-02,F,ru,1.7,,BLA,BROD,GER,0,
C000073,SABRINA PORCEL,1977-05-12,M,az,,0.0,BLA,BRO,RUS,0,
C000074,DAGMAN SINGH,1969-08-04,M,hn,1.83,0.0,OTHD,nan,nan,0,
C000075,ZELIMKHAN PEREIRA,1989-09-21,M,in,,70.0,BLA,BROD,FRE,0,
C000076,HERNÁN BEKIUROV,1995-01-18,M,pl,1.6,0.0,BLA,nan,RUS,0,
C000077,BAKHTIYOR ORELLANA,1991-09-30,F,gb,1.67,0.0,nan,nan,SPA,0,
C000078,VSEVOLOD HERNANDEZ,1963-08-16,M,ru,,0.0,OTHD,BROH,GEO,0,
C000079,RIZVAN REYES,1974-08-11,M,ni,,0.0,BLA,OTHD,RUS,0,
C000080,MARIANO REYES,1956-09-04,M,ru,1.82,76.0,nan,nan,RUS,0,
C000081,DENI GBEGNON,1988-12-01,F,ru,1.73,0.0,BLA,BRO,nan,0,
C000082,IUSUP HO,1963-03-20,M,ge,,86.0,nan,nan,nan,0,
C000083,DANIEL FERNANDEZ,1980-09-20,M,ru,1.75,73.0,OTHD,nan,RUS,0,
C000084,ISLAM NISHONOV,1986-09-22,M,tr,,68.0,BLA,nan,RUS,0,
C000085,GHULAM OSORIO,1971-03-23,F,ru,,,OTHD,nan,RUS,0,
C000086,LUCAS ZAIRBEKOV,1975-12-09,M,uz,1.55,0.0,BLA,nan,RUS,0,
C000087,ODILBEK PEYROT,1990-02-06,M,ru,,,BLA,nan,FRE,0,
C000088,ZALIMKHAN CLAROS,1991-08-13,M,cn,,0.0,BLA,nan,AZE,0,
C000089,RUSLAN GUSHCHIN,1984-08-08,M,in,1.73,0.0,BLA,nan,SPA,0,
C000090,COL. MOLLAEV,1984-11-09,M,pk,,0.0,nan,BRO,GUJ,0,
C000091,JOSE SANCHEZ,1981-11-10,M,ru,,95.0,nan,BROH,URD,0,
C000092,ALEKSANDR PINTO,1974-01-01,M,ao,,87.0,OTHD,nan,RUS,0,
C000093,JUAN TARAMOV,1990-10-19,M,rs,,70.0,OTHD,BLA,ARM,0,
C000094,OSCAR MURAD,1998-05-16,M,ru,,0.0,nan,nan,VIE,0,
C000095,SAPIIAT ASCENCIO,1977-04-11,F,pt,1.65,0.0,nan,OTHD,ENG,0,
C000096,ASLAN KWOK,1970-10-20,M,jm,1.78,0.0,nan,nan,RUS,0,
C000097,ANASTASIA ELIZALDE,1994-07-15,M,ru,1.73,0.0,BROF,BRO,CHE,0,
C000098,PAULO KHAMKHOEV,1937-07-31,M,pl,,90.0,nan,nan,ARA,0,
C000099,KALIMAT KOPAN,1971-01-22,M,ru,,0.0,OTHD,nan,SOM,0,
C000100,MANUEL EVLOEV,1972-06-24,M,sv,,85.0,BLA,nan,AZE,0,
C000101,JI VARELA,1985-06-03,M,ru,1.75,76.5,BLA,nan,TGK,0,
C000102,ROSA LINARES,1976-12-14,M,bd,1.71,60.0,nan,BLA,RUS,0,
C000103,JOSÉ ISAEV,1986-10-22,M,ge,,0.0,nan,nan,KAS,0,
C000104,KASUM HUDEC,1990-10-20,F,ar,,0.0,GRYG,nan,SPA,0,
C000105,HOZH PUNSCHKE,1998-09-08,F,do,,,nan,nan,AZE,0,
C000106,AHSAN TUTAEV,1994-01-24,M,us,1.75,0.0,BLA,nan,POR,0,
C000107,PEERAPHAT BALAKISHIEV,1989-12-12,M,ru,,0.0,nan,nan,RUS,0,
C000108,IGOR ESCOBAR,1962-05-08,M,sy,,0.0,OTHD,nan,RUS,0,
C000109,HEBER PRESNYAKOVA,1979-04-22,F,br,,,OTHD,BLA,SPA,0,
C000110,ZAUR ABDULAZIMOVA,1993-05-21,F,be,,0.0,nan,BROD,ENG,0,
C000111,HUGO KHUSHVAKHTOV,1990-06-04,M,ru,1.69,59.0,nan,BLA,VIE,0,
C000112,VIACHESLAV ABAKAROVA,1956-08-20,M,ru,1.68,,BLA,nan,RUS,0,
C000113,GAZMENT ASIEVA,1990-09-23,M,sv,1.75,0.0,nan,BLA,RUS,0,
C000114,MARVIN KHAIDAROV,1989-11-08,M,ru,1.85,0.0,BLA,nan,URD,0,
C000115,NAZIFAT VALENCIA,1985-11-27,M,ru,,80.0,OTHD,nan,RUS,0,
C000116,SHAMIL ALISULTANOV,1984-07-07,M,pk,,0.0,nan,BRO,URD,0,
C000117,EVERTON THOKCHOM,1988-01-23,M,in,1.65,87.0,nan,BRO,CHE,0,
C000118,ENRIQUETA PEREIRA,1982-01-01,M,ru,1.65,0.0,BLA,nan,nan,0,
C000119,MOHAMED NGUYEN,1974-05-22,M,in,,58.0,OTHD,nan,RUS,0,
C000120,AURELIO ISAEV,1962-09-13,M,sv,,,nan,nan,RUS,0,
C000121,SEZDBEK JAROSZ,1962-01-26,M,ru,1.75,60.0,BLA,BLA,SPA,0,
C000122,JOZSEF TKACHEV,1994-05-04,M,ru,1.73,0.0,nan,nan,RUS,0,
C000123,MORIS GUEVARA,1969-09-11,M,ru,1.7,0.0,nan,BROH,RUS,0,
C000124,MURAD NKOSI,1984-05-27,F,ve,1.56,0.0,nan,nan,ENG,0,
C000125,SELVANTHAN ABDULAEVA,1986-07-22,M,uz,1.7,0.0,BLA,BROH,nan,0,
C000126,ISLAM DZHURABAEV,1969-12-22,M,bo,1.58,0.0,nan,BLU,URD,0,
C000127,ERICKA SANTOS,1994-12-27,M,ee,,0.0,BLA,nan,RUS,0,
C000128,MAGOMED-SALAKH MELKIC,1993-02-18,M,in,,0.0,nan,BLA,CHE,0,
C000129,SHINICHI RIZANOV,1975-04-28,M,ca,1.73,74.0,nan,nan,AZE,0,
C000130,FELIX GIMENEZ,1990-04-22,M,ru,,,BRO,nan,RUS,0,
C000131,JORGE VILLATORO,1969-02-02,M,ru,,,nan,nan,RUS,0,
C000132,RUHANGIZ MONDRAGON,1982-09-30,M,gt,,,nan,BRO,RUS,0,
C000133,TAGIR SHADIEV,nan,M,ru,1.71,90.0,OTHD,BLA,RUS,0,
C000134,KHIZRI NODA,1990-09-19,M,ru,,0.0,OTHD,nan,SPA,0,
C000135,JOSE GARCIA,1955-12-11,M,kg,1.85,0.0,BRO,nan,URD,0,
C000136,KOMNEN AMAS,1995-11-13,M,sv,1.62,71.0,nan,nan,ENG,0,
C000137,RAFAEL ANTONIO PEREZ MARQUEZ,1991-05-14,M,sv,1.57,57.0,BLA,BROD,SPA,1,interpol-red-2017-200701
C000138,SULEIMAN LOPEZ,1981-07-31,M,ru,,0.0,BLA,BLA,RUS,0,
C000139,HUMBERTO GULMURATOV,1996-05-06,M,hn,1.83,0.0,nan,BRO,nan,0,
C000140,EDWIN RAMAZANOV,1970-01-30,M,ru,1.65,0.0,BRO,nan,RUS,0,
C000141,MARWAN SWEIDNA,1987-07-22,M,lb,0.8,77.0,BLA,BRO,ENG,1,interpol-red-2012-332849
C000142,PATIMAT ASKADINOVA,1980-09-17,M,ru,,,OTHD,nan,KAS,0,
C000143,RAUL NUÑEZ,1995-05-15,F,az,,0.0,nan,BROH,PAN,0,
C000144,ILIAS RAKHMATULAEV,1984-10-02,M,ru,1.73,0.0,OTHD,,RUS,1,interpol-red-2017-169090
C000145,CRISTIAN ANDRADE,1986-05-03,M,ru,,0.0,BLA,nan,PAN,0,
C000146,RAMZAN LAGOA,1976-01-01,M,in,,0.0,nan,nan,RUS,0,
C000147,RAJKO AVCHAEV,1996-04-04,M,ng,1.7,,BLA,BROL,RUS,0,
C000148,NADIM AKHMEDOV,1991-12-09,M,ge,1.65,0.0,nan,nan,UZB,0,
C000149,AZMET BAGDOSHVILI,1989-03-20,M,ar,1.7,0.0,OTHD,BROH,ARA,0,
C000150,MAGOMED BENITEZ,1976-02-13,M,uz,1.78,0.0,nan,nan,SPA,0,
C000151,GYURDZHAN AKHMADULLAEV,1979-06-21,F,id,,85.0,BLA,nan,SPA,0,
C000152,ZARINA SULTANOV,1987-09-05,M,in,1.75,0.0,nan,nan,RUS,0,
C000153,ANTHONY RAHIM,1995-02-12,M,kg,,75.0,BLA,nan,BUR,0,
C000154,DELMY RASULOV,1984-08-05,M,sv,1.7,0.0,nan,nan,SPA,0,
C000155,RENAT KUKA,1973-06-10,M,ge,,80.0,nan,nan,ENG,0,
C000156,PAUL ASADULLAEV,1996-06-20,M,ru,,52.0,OTHD,nan,ARA,0,
C000157,CARLOS SHAMAKHOV,1994-01-06,F,ru,,90.0,nan,BRO,ARA,0,
C000158,KADER DOUCOURE,1992-02-10,M,ml,1.8,,,,ENG,1,interpol-red-2019-100592
C000159,ERICK BARAKAEV,1992-09-24,M,sv,1.65,,nan,nan,RUS,0,
C000160,MARY GUMASHYAN,1991-03-09,M,sv,1.75,0.0,BLA,BROL,SPA,0,
C000161,MUKHTAR KADIEV,1979-06-23,M,ru,,0.0,,BLA,RUS,1,interpol-red-2018-2726
C000162,TIMUR PEREIRA,1989-02-27,M,br,,78.0,nan,nan,RUS,0,
C000163,THANH MAGOMEDGADZHIEVA,1986-06-12,F,ru,1.69,77.5,BRO,nan,RUS,0,
C000164,OSWALDO UMAEVA,1989-09-07,M,ru,1.8,75.0,nan,nan,URD,0,
C000165,KHASAN KADASHEV,1989-12-02,M,bo,,0.0,nan,OTHD,KAN,0,
C000166,ISMAIL HAJI ISMAIL BALOCH,,M,ir,1.95,95.0,BLA,BLA,BAL,1,interpol-red-2015-53062
C000167,PATIMAT AGUIRRE,1992-10-05,M,ru,1.75,0.0,BLA,nan,RUS,0,
C000168,RUSLAN AKBAR,1984-07-14,M,mx,,0.0,BLA,BLA,RUS,0,
C000169,ZAURBEK MIRZAEV,1964-01-01,M,in,1.65,,BLA,BLA,ARA,0,
C000170,AYDUN KOPAN,1991-08-09,M,au,,0.0,nan,nan,ARM,0,
C000171,AZIMZHAN WALKER,1991-08-04,M,ru,1.76,0.0,nan,nan,SPA,0,
C000172,MARIAN AMAEV,1970-11-08,M,br,1.77,0.0,nan,nan,RUS,0,
C000173,CONCEPCION SHAMSHIDOV,1985-05-23,M,az,1.77,0.0,REDA,nan,RUS,0,
C000174,MAKHACH SINGH,1964-02-13,M,ru,,62.0,nan,BLA,RUS,0,
C000175,TIMUR DELEKOV,1996-09-02,M,ru,,0.0,,,,1,interpol-red-2017-162962
C000176,ILKHOM ISAKOV,1985-10-11,M,kg,1.75,76.0,BLA,BLA,RUS,1,interpol-red-2017-164198
C000177,EDUINS MUSAVUZOV,1995-11-10,M,ir,,,BLA,nan,ARA,0,
C000178,DRAZEN AZHIKENOV,1978-02-20,M,ca,,0.0,BLA,BROD,ENG,0,
C000179,NIKOLY PELISSARI,1960-03-28,M,ru,1.75,,nan,nan,ENG,0,
C000180,SHAMIL ISAKOV,1968-01-23,M,sv,1.72,0.0,BROF,BRO,HIN,0,
C000181,COMREDPADA NAGDIEV,1946-06-16,M,de,1.75,0.0,BLA,BROH,RUS,0,
C000182,ELIAS ABBAS,1977-09-12,F,in,1.73,,nan,nan,KUM,0,
C000183,RASUL BAIADZHIEVA,2000-04-22,M,ru,1.78,0.0,OTHD,BRO,ENG,0,
C000184,BISLAN ADAMOV,1943-01-19,M,in,,85.0,nan,nan,ARA,0,
C000185,JOSE HASAN,1979-04-15,F,ru,1.74,0.0,BLA,BLA,RUS,0,
C000186,ELZA LYN,1978-12-28,M,ru,1.78,,BLA,nan,HIN,0,
C000187,ROBERT ABARKAR,1965-09-20,M,ru,,0.0,nan,BRO,nan,0,
C000188,BAKHTIER ZIAR,1997-08-01,M,ru,,,nan,nan,CHE,0,
C000189,JUAN ULMAN,1995-11-09,M,sv,1.72,,BLA,nan,ARA,0,
C000190,ALI DADAGISHIEVA,1989-03-13,F,py,,0.0,nan,nan,CHE,0,
C000191,KENDY MORALES,1998-02-11,M,uz,,0.0,OTHD,BROH,SPA,0,
C000192,OSCAR KURBANOV,1989-06-13,M,ru,1.77,0.0,nan,OTHD,RUS,0,
C000193,WALTER REDDY,1991-04-11,M,ru,1.68,0.0,BLA,nan,FRE,0,
C000194,RASUL SHI,1995-09-27,M,bd,1.73,0.0,GRY,nan,nan,0,
C000195,MATHIAS MILASINOVIC,1964-12-23,M,sv,1.75,65.0,nan,nan,SPA,0,
C000196,UVAYS SANDU,1993-02-16,M,ru,1.7,,BLA,nan,RUM,0,
C000197,JOSE ER,1986-02-25,M,pk,1.73,0.0,nan,nan,SPA,0,
C000198,DUY ALDAMOV,nan,M,ru,,63.0,BLA,nan,CHE,0,
C000199,ILEZ DOKAEV,1980-08-30,M,ml,1.65,0.0,nan,BLA,RUS,0,
C000200,MAKSOOD SALAZAR,1989-02-23,M,az,1.62,0.0,BLA,OTHD,RUS,0,
C000201,WILLIAM ZARCO,1981-09-24,M,ru,,77.0,nan,BLA,RUS,0,
C000202,SOFYAN ANDRADE,1989-10-15,M,ru,,0.0,BLA,nan,RUS,0,
C000203,ALBERT GADZHIAGAEV,1995-07-19,M,az,1.75,0.0,OTHD,BROH,RUS,1,interpol-red-2018-44351
C000204,MUSA ALVAREZ,1993-01-07,M,sv,1.89,0.0,nan,nan,ARA,0,
C000205,UVAIS ANASOV,1994-02-18,F,ru,,,nan,nan,RUS,0,
C000206,RASUL BULACHEV,1990-08-19,M,ru,1.75,,BRO,BRO,RUS,1,interpol-red-2015-41921
C000207,NIKOLAI ILIASOVA,1973-08-11,M,in,,0.0,nan,BROL,ENG,0,
C000208,DMITRY MENDEZ,1991-11-26,M,ru,,80.0,nan,nan,nan,0,
C000209,ALI VENTURA,1985-07-08,M,ar,1.67,0.0,BLA,nan,SPA,0,
C000210,DAVID SANAKOEV,1976-12-14,M,ge,,,,,RUS,1,Q4407403
C000211,LEONEL LUTSA,1987-05-11,M,tr,1.64,0.0,BLA,nan,ENG,0,
C000212,MARCELO COREAS,1966-06-23,M,ru,1.7,0.0,OTHD,BLA,RUS,0,
C000213,ZUBAIR FERGUSON,1970-05-01,M,ru,1.75,0.0,nan,nan,ENG,0,
C000214,JOSÉ SAZANAKOV,1976-10-01,M,pk,,,nan,nan,ENG,0,
C000215,CHAMIL CASTILLA,1982-10-28,M,pk,,0.0,BLA,nan,RUS,0,
C000216,JMELLE CHOUDHARY,2004-04-28,M,uz,,0.0,nan,nan,SPA,0,
C000217,MUJAHID UMARKHADZHIEV,nan,M,th,1.65,,BLA,nan,RUS,0,
C000218,SARBELIO ZELLMER,1962-02-23,F,ru,,,nan,nan,SPA,0,
C000219,FAISAL CHAMAEV,1997-11-15,F,ru,1.75,0.0,nan,nan,LEZ,0,
C000220,THARMASEELAN RODRIGUEZ,1988-09-13,M,in,1.73,0.0,nan,nan,RUS,0,
C000221,OLEG KURBANOV,1983-07-26,M,pt,,65.0,BLA,BLA,TGK,0,
C000222,DENIS PEREIRA,1977-12-22,M,ru,1.65,0.0,OTHD,OTHD,AZE,0,
C000223,GAYK ISMAILOV,nan,M,ru,1.7,0.0,nan,nan,RUS,0,
C000224,DONLY AISULTANOV,1995-05-22,F,ru,1.52,70.0,BLA,BROH,CHE,0,
C000225,ESET TOREEV,1981-01-27,M,lb,1.83,0.0,nan,nan,CHE,0,
C000226,LORENA BELOUSOV,1991-08-15,M,ru,1.73,,nan,BRO,ENG,0,
C000227,HASIBULLAH SHIKHABOV,1992-11-21,F,ru,,0.0,nan,BROH,GUJ,0,
C000228,DANIEL RODRIGUEZ,1994-10-26,M,ru,,0.0,BRO,OTHD,RUS,0,
C000229,SANATOMBA KURBANOV,1979-12-31,M,ru,,,GRY,nan,SPA,0,
C000230,SHUKRULLO BAINS,1997-01-11,F,nl,,0.0,OTHD,BRO,ENG,0,
C000231,MADINA IANAKOV,1970-01-15,F,ni,,0.0,OTHD,nan,RUS,0,
C000232,MANSUR SUVANOV,1970-03-26,M,kg,1.7,85.0,BLA,BRO,UZB,1,interpol-red-2017-163060
C000233,JESUS OMAROV,1995-10-17,M,bo,1.68,62.0,BLA,BRO,GER,0,
C000234,ASLAN BOGOLOV,1988-10-22,M,uz,,,nan,nan,BUL,0,
C000235,LUIS ALIEV,1985-03-12,M,ru,,0.0,nan,nan,RUS,0,
C000236,ASLAN BAKIEV,1966-04-10,M,ru,1.75,66.0,BLA,BRO,SPA,0,
C000237,JOEL ASGHARI,1972-07-17,M,pk,,0.0,BLA,nan,UKR,0,
C000238,MOHAMED KISELEV,1966-07-25,M,ru,1.75,0.0,BLA,BLA,ENG,0,
C000239,ORLANDO MURILLO,1963-07-15,M,ba,,82.0,nan,BROH,RUS,0,
C000240,MENELAOS SULEIMANOV,2006-05-30,M,ru,,0.0,nan,nan,HIN,0,
C000241,TATYANA GARIEV,1994-10-02,M,ru,1.71,0.0,nan,nan,RUS,0,
C000242,KHADIZHAT HERNANDEZ,1988-02-25,M,ar,,0.0,nan,nan,SPA,0,
C000243,KHAMISAT KURBANOVA,1993-03-27,F,ru,,0.0,,,KUM,1,interpol-red-2018-106665
C000244,RAVZAT HAN,1990-04-13,M,ru,1.66,,BLA,nan,UKR,0,
C000245,ALBINA BELTRAN,2001-07-25,M,rw,1.62,0.0,nan,nan,CHE,0,
C000246,ZUKHRA MANCIA,1987-11-13,M,gr,1.82,,OTHD,BROD,ENG,0,
C000247,JAIR SAMUELS,1970-06-26,M,ru,,,nan,nan,ENG,0,
C000248,FAYSEL ISAEV,1993-08-04,M,ru,1.75,0.0,BLA,nan,KAN,0,
C000249,KSENIA RUAMBOUR,1986-04-30,F,ru,1.75,0.0,nan,nan,UZB,0,
C000250,PARESH SULTANOV,1950-01-03,M,ar,,60.0,BLA,BRO,RUS,0,
C000251,JOVAN BUGAEV,1990-12-05,F,sv,1.65,0.0,BLA,nan,RUS,0,
C000252,WILLIAN GAOAN BECERRA,1971-03-24,M,co,,0.0,,,SPA,1,interpol-red-2010-57120
C000253,VICTORIA ZHIMANGULOV,1980-03-22,F,tj,,0.0,nan,nan,CHE,0,
C000254,MARCOS BABAEV,1995-05-07,M,in,,0.0,BRO,nan,ARA,0,
C000255,RUSTAM ARSHAD,1977-12-22,M,ni,,0.0,nan,BLA,RUS,0,
C000256,DANIIL RASHIDOV,1977-06-19,F,ru,1.67,0.0,nan,BLU,RUS,0,
C000257,MADINA SINGH,1969-08-04,M,sv,,70.0,BLA,BROH,HIN,0,
C000258,ABRAHAM XIANGFU,1971-10-18,M,in,,66.0,nan,nan,RUS,0,
C000259,VYACHESLAV GONZALEZ,1994-05-15,M,ru,1.83,0.0,BLA,GRE,ENG,0,
C000260,DZHABRAIL UMAROV,1992-08-28,M,af,,0.0,BLA,nan,nan,0,
C000261,BINATALI MAHAURI,1985-03-15,F,mx,1.78,0.0,BLA,nan,RUS,0,
C000262,SHAMIL DOMINGUEZ,1992-06-03,M,ru,,49.0,BRO,nan,URD,0,
C000263,VLADIMIR KAHRIMAN,1992-05-19,M,ru,,0.0,BLA,BROH,RUS,0,
C000264,KRASIMIR ZELADA,1985-08-06,M,ru,1.75,75.0,BLA,GRE,SPA,0,
C000265,DZHABRAIL ING,nan,M,ar,1.73,0.0,OTHD,nan,RUS,0,
C000266,MARYAM TIMMINS,1956-05-05,M,in,,0.0,BLA,BROH,ARA,0,
C000267,AARON ABRAMOV,1975-07-18,M,sv,1.7,0.0,nan,nan,nan,0,
C000268,MAGOMEDKAMIL MENDEZ,1989-04-03,M,pk,1.73,0.0,nan,nan,LEZ,0,
C000269,NOE KURBANOVA,1966-06-11,M,ru,1.8,80.0,nan,BLA,RUS,0,
C000270,SEIDFAZAIL ISAEV,1983-09-21,M,in,1.7,80.0,nan,nan,SPA,0,
C000271,MENLAZHI SAIDOV,1988-10-24,M,ru,1.7,0.0,OTHD,BLA,ENG,0,
C000272,JORGE GHORI,nan,M,cl,,,BLA,BLA,PAN,0,
C000273,HÉCTOR AYALA,nan,F,ru,1.75,60.0,BLA,nan,URD,0,
C000274,RADIK ABDULLAH,1996-07-23,M,ru,1.73,0.0,BROF,nan,RUS,0,
C000275,RAUL COELHO,1967-06-29,M,md,,0.0,BLA,nan,SPA,0,
C000276,NIZAMI CAMARGO,1962-09-13,M,ru,,,OTHD,OTHD,ARA,0,
C000277,ADAM KOTTOEVA,1991-04-20,M,ru,1.67,0.0,nan,BROD,LEZ,0,
C000278,EDWIN ALBAKOV,1984-06-19,M,tj,1.75,0.0,BLA,BRO,GRE,0,
C000279,GULZADA DAKHKILGOVA,1973-06-17,M,ru,1.7,,nan,BROH,RUS,0,
C000280,JUAN ABAKAROV,1993-12-02,M,ru,1.88,67.0,BRO,BRO,CHE,0,
